Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Traders and dealers in boots and shoes,0,7019,23,2,121,210,18,1,59,464,272,176,40,153,129,151,174,922,245,40,9,241,11,7,90,262,1395,11,568,12,726,104,26,55,12,22,91,12,105,60
Traders and dealers in cabinetware,0,4087,20,9,145,80,4,1,27,392,135,156,59,96,73,91,96,384,165,59,15,228,23,14,39,122,770,6,231,11,305,,15,59,19,42,32,14,95,55
Traders and dealers in cigars and tobacco,90,8234,16,15,310,147,28,2,52,450,104,110,51,656,186,9,430,258,193,23,25,624,37,17,2,215,1529,210,536,17,1025,18,24,94,42,7,430,41,88,123
Traders and dealers in clothing,9,7595,18,7,304,96,22,11,63,512,213,170,73,137,97,110,316,588,256,37,1,144,22,33,63,243,2173,6,617,8,678,55,26,41,20,31,94,11,171,119
Traders and dealers in cloths and textile fabrics,0,1163,,,37,2,,,5,56,12,3,,18,7,92,36,65,27,1,1,26,1,,,41,319,,16,,362,,,23,2,3,3,,3,2
Traders and dealers in coal,0,4143,4,5,62,115,24,,8,274,95,20,8,126,18,15,90,253,11,1,7,94,6,,,281,691,,350,,1434,39,4,29,,13,30,13,18,5
Traders and dealers in coal and wood,0,2493,18,10,204,43,,2,16,133,21,83,4,17,174,32,72,296,62,24,17,91,3,8,23,91,573,1,86,15,48,37,26,31,13,5,39,,32,143
Traders and dealers in cotton,0,1701,215,3,,1,,1,256,2,1,,,2,313,,35,98,,2,15,4,1,,,37,274,2,16,,21,66,122,176,33,,3,,2,
"Traders and dealers in crockery, china, and stoneware",0,1765,4,1,60,39,12,2,13,83,49,37,11,30,44,28,46,98,45,13,5,78,4,1,9,101,526,2,130,5,152,19,3,24,10,3,30,,31,17
Traders and dealers in drugs and medicines,0,17369,169,95,462,244,51,39,188,1626,936,749,216,523,254,257,399,815,648,200,240,1089,82,39,115,458,2619,95,1170,71,1754,71,86,317,183,112,270,83,419,225
Traders and dealers in dry-goods,0,39790,588,513,577,359,104,132,1126,2776,2337,1379,506,1392,802,650,590,1690,1056,418,627,1704,95,21,318,905,5124,660,3661,96,4236,233,331,1380,849,220,921,368,789,257
Traders and dealers in gold and silver ware and jewelry,0,6402,64,22,259,142,7,1,3,571,156,305,96,107,118,196,161,477,415,92,50,290,,,93,158,701,38,277,24,814,90,29,86,46,125,92,25,214,58
Traders and dealers in groceries,0,74410,806,391,1840,1341,172,275,1696,4676,2946,1960,784,2120,2111,1697,1930,4073,2140,551,602,2700,250,154,541,2637,12949,589,6529,129,6825,878,575,1563,1092,368,1666,342,1374,1138
Traders and dealers in hats and caps,0,3375,4,12,166,62,8,1,7,154,53,27,14,100,61,12,180,233,72,10,11,65,2,4,30,69,569,38,219,7,941,34,12,37,4,4,62,16,43,32
Traders and dealers in ice,0,1464,7,2,13,48,5,2,14,120,47,22,13,32,56,28,23,118,38,13,10,95,4,4,19,67,374,4,80,2,87,10,3,25,3,4,29,1,27,15
"Traders and dealers in iron, tin, and copper wares",90,9003,39,9,166,197,37,11,87,430,519,554,69,178,65,102,223,605,55,71,20,398,36,,93,357,2143,13,982,15,666,25,35,107,43,97,67,19,331,49
"Traders and dealers in leather, hides, and skins",0,2261,6,4,10,27,3,1,2,157,59,50,8,31,32,8,64,459,37,76,,74,3,1,5,110,540,,122,2,272,7,4,22,3,1,10,1,37,13
Traders and dealers in lime,0,310,1,,5,,5,,3,14,26,12,,6,2,1,16,9,8,4,2,7,,,,28,36,,21,1,79,4,3,6,,,,,10,1
Traders and dealers in liquors and wines,0,11718,47,41,600,118,29,22,117,506,235,71,58,259,129,36,281,466,120,44,15,295,32,34,60,656,4638,112,467,21,1365,175,66,119,80,,61,23,137,183
Traders and dealers in live stock,0,7723,14,32,308,54,1,,42,1051,362,339,296,283,52,59,137,229,135,31,23,611,52,45,14,134,856,16,961,39,702,7,7,107,117,74,85,14,130,304
