Civil Divisions,All ages Total,All ages Male,All ages Female,5 to 18 Male,5 to 18 Female,18 to 45  Male,21 and upward Male,State,County
Eastville,3395,1663,1732,499,498,647,824,Virginia,Northampton
Blendon,3026,1488,1538,498,517,509,658,Virginia,Nottoway
Hatoka,3428,1673,1755,623,632,543,725,Virginia,Nottoway
Mayo River,4017,1942,2075,695,675,622,761,Virginia,Patrick
Smith's River,3366,1581,1785,545,554,517,657,Virginia,Patrick
Danville,3463,1687,1776,458,537,764,871,Virginia,Pittsylvania
Buffalo,3415,1672,1743,569,510,526,746,Virginia,Prince Edward
Leigh,3391,1636,1755,523,578,518,736,Virginia,Prince Edward
Kempsville,3100,1573,1527,491,499,563,761,Virginia,Princess Anne
Seaboard,3053,1596,1457,564,470,573,739,Virginia,Princess Anne
Salem,3652,1774,1878,569,597,671,801,Virginia,Roanoke
Lexington,3948,2249,1699,703,490,1074,917,Virginia,Rockbridge
Franklin,3200,1539,1661,504,475,524,712,Virginia,Rockingham
Linville,3536,1693,1843,631,623,559,723,Virginia,Rockingham
Plains,3035,1495,1540,509,487,508,669,Virginia,Rockingham
Madison,3001,1483,1518,532,474,477,657,Virginia,Shenandoah
Marion,3779,1869,1910,647,629,638,783,Virginia,Smyth
Rich Valley,3572,1790,1782,675,629,558,714,Virginia,Smyth
Clear Fork,3415,1695,1720,622,581,517,652,Virginia,Tazewell
Jeffersonville,3682,1828,1854,678,639,533,717,Virginia,Tazewell
Maiden Spring,3694,1857,1837,678,650,620,727,Virginia,Tazewell
Goodson,3835,1875,1960,632,598,651,796,Virginia,Washington
Cople,3353,1644,1709,620,578,539,674,Virginia,Westmoreland
Black Lick,3489,1698,1791,569,549,599,749,Virginia,Wythe
Fort Chiswell,4034,1973,2061,715,667,635,808,Virginia,Wythe
Speedwell,4088,2041,2047,706,640,672,834,Virginia,Wythe
Martinsburg,4863,2362,2501,717,756,877,1116,West Virginia,Berkeley
Grant,4571,2252,2319,716,656,813,1094,West Virginia,Jefferson
Charleston,3857,1973,1884,514,580,901,1052,West Virginia,Kanawha
Charleston,3162,1607,1555,394,467,776,899,West Virginia,Kanawha
Malden,3190,1594,1596,580,566,568,678,West Virginia,Kanawha
Waggoner,3324,1681,1643,577,578,600,714,West Virginia,Mason
Ritchie,4126,2075,2051,768,697,664,863,West Virginia,Ohio
South Wheeling,3158,1636,1522,599,504,530,676,West Virginia,Ohio
Wheeling,19280,9274,10006,3004,3219,3649,4353,West Virginia,Ohio
Parkersburg,5546,2640,2906,814,915,1091,1296,West Virginia,Wood
Green Bay,4666,2353,2313,680,757,963,1153,Wisconsin,Brown
Howard,3620,1906,1714,570,569,747,938,Wisconsin,Brown
Portage,3945,1986,1959,653,665,695,916,Wisconsin,Columbia
Prairie du Chien,3661,1844,1817,601,626,654,865,Wisconsin,Crawford
Madison,9176,4562,4614,1593,1605,1702,2102,Wisconsin,Dane
Beaver Dam,3265,1580,1685,533,553,530,763,Wisconsin,Dodge
Hubbard,3008,1536,1472,510,499,493,710,Wisconsin,Dodge
Watertown (part of),2186,1112,1074,398,375,313,401,Wisconsin,Dodge
Fond du Lac,12764,6254,6510,1936,2173,2494,3135,Wisconsin,Fond du Lac
Ripon,4119,2041,2078,560,603,813,1012,Wisconsin,Fond du Lac
Platteville,3683,1831,1852,551,595,675,801,Wisconsin,Grant
Monroe,4536,2243,2293,697,731,833,1108,Wisconsin,Green Bay
Monroe,3408,1656,1752,484,532,640,859,Wisconsin,Green Bay
Berlin,3800,1859,1941,549,607,713,967,Wisconsin,Green Lake
Dodgeville,3708,1871,1837,681,656,584,820,Wisconsin,Iowa
Highland,3016,1566,1450,625,570,466,622,Wisconsin,Iowa
Mineral Point,4825,2439,2386,837,811,834,1053,Wisconsin,Iowa
Mineral Point,3275,1612,1663,525,536,579,740,Wisconsin,Iowa
Jefferson,4408,2259,2149,793,792,738,991,Wisconsin,Jefferson
Koshkonong,3202,1604,1598,516,521,562,782,Wisconsin,Jefferson
Watertown (part of),5364,2640,2724,905,971,825,1203,Wisconsin,Jefferson
Kenosha,4209,2115,2194,643,722,734,1032,Wisconsin,Kenosha
La Crosse,7785,3948,3837,1004,1119,1925,2176,Wisconsin,La Crosse
Manitowoc,5168,2558,2610,810,887,921,1225,Wisconsin,Manitowoc
Milwaukee,3096,1571,1525,572,564,426,719,Wisconsin,Milwaukee
Milwaukee,71440,35275,36165,10874,11351,13543,17213,Wisconsin,Milwaukee
Wauwatosa,3689,2046,1643,571,563,743,1100,Wisconsin,Milwaukee
Sparta,3461,1714,1747,532,571,661,868,Wisconsin,Monroe
Oconto,3278,1889,1389,453,396,977,1046,Wisconsin,Oconto
Appleton,4518,2213,2305,616,757,941,1040,Wisconsin,Outagamie
Mequon,3156,1632,1524,610,542,444,719,Wisconsin,Ozaukee
Mount Pleasant,3560,1958,1602,713,545,668,861,Wisconsin,Racine
Racine,9880,4909,4971,1284,1380,2008,2625,Wisconsin,Racine
Beloit,4396,2178,2218,688,626,844,1095,Wisconsin,Rock
Janesville,8789,4324,4465,1298,1388,1715,2267,Wisconsin,Rock
Sheboygan,5310,2627,2683,915,959,806,1185,Wisconsin,Sheboygan
Sheboygan Falls,3223,1647,1576,539,559,518,782,Wisconsin,Sheboygan
Whitewater,4285,2033,2252,624,734,785,1021,Wisconsin,Walworth
Waukesha,3877,1988,1888,754,619,627,892,Wisconsin,Waukesha
Menasha,3107,1575,1532,524,535,552,741,Wisconsin,Winnebago
Neenah,3123,1569,1554,468,547,560,774,Wisconsin,Winnebago
Omro,3216,1640,1576,486,516,661,864,Wisconsin,Winnebago
Oshkosh,12663,6402,6261,1789,1980,2778,3394,Wisconsin,Winnebago
